statement,link,date,source,label
"

“Judge Merchan says Trump will be arrested if he misses any day of the trial, even for Barron’s graduation.”

",/factchecks/2024/apr/29/viral-image/judge-in-trumps-criminal-trial-didnt-threaten-to-a/,"pril 29, 2024",Viral image,https://static.politifact.com/img/meter-false.jpg
"

“Judge Merchan says Trump will be arrested if he misses any day of the trial, even for Barron’s graduation.”

",/factchecks/2024/apr/29/viral-image/judge-in-trumps-criminal-trial-didnt-threaten-to-a/,"pril 29, 2024",Viral image,https://static.politifact.com/img/meter-false.jpg
"

Foto muestra “El océano Atlántico y el pacífico frente a frente sin mezclarse”.

",/factchecks/2024/apr/29/facebook-posts/no-esta-foto-no-es-de-los-oceanos-atlantico-y-paci/,"pril 29, 2024",Facebook posts,https://static.politifact.com/img/meter-false.jpg
"

“Judge Merchan says Trump will be arrested if he misses any day of the trial, even for Barron’s graduation.”

",/factchecks/2024/apr/29/viral-image/judge-in-trumps-criminal-trial-didnt-threaten-to-a/,"pril 29, 2024",Viral image,https://static.politifact.com/img/meter-false.jpg
"

Foto muestra “El océano Atlántico y el pacífico frente a frente sin mezclarse”.

",/factchecks/2024/apr/29/facebook-posts/no-esta-foto-no-es-de-los-oceanos-atlantico-y-paci/,"pril 29, 2024",Facebook posts,https://static.politifact.com/img/meter-false.jpg
"

Says he “got arrested” while protesting in favor of desegregation.

",/factchecks/2024/apr/29/joe-biden/joe-biden-repeats-false-tale-that-he-got-arrested/,"pril 29, 2024",Joe Biden,https://static.politifact.com/img/meter-false.jpg
"

“Judge Merchan says Trump will be arrested if he misses any day of the trial, even for Barron’s graduation.”

",/factchecks/2024/apr/29/viral-image/judge-in-trumps-criminal-trial-didnt-threaten-to-a/,"pril 29, 2024",Viral image,https://static.politifact.com/img/meter-false.jpg
"

Foto muestra “El océano Atlántico y el pacífico frente a frente sin mezclarse”.

",/factchecks/2024/apr/29/facebook-posts/no-esta-foto-no-es-de-los-oceanos-atlantico-y-paci/,"pril 29, 2024",Facebook posts,https://static.politifact.com/img/meter-false.jpg
"

Says he “got arrested” while protesting in favor of desegregation.

",/factchecks/2024/apr/29/joe-biden/joe-biden-repeats-false-tale-that-he-got-arrested/,"pril 29, 2024",Joe Biden,https://static.politifact.com/img/meter-false.jpg
"

Said Columbia University has told students, “Well, if you’re Jewish, maybe you do want to stay home.”

",/factchecks/2024/apr/29/mike-johnson/amid-columbia-protests-safety-concerns-speaker/,"pril 29, 2024",Mike Johnson,https://static.politifact.com/img/meter-false.jpg
"

“Judge Merchan says Trump will be arrested if he misses any day of the trial, even for Barron’s graduation.”

",/factchecks/2024/apr/29/viral-image/judge-in-trumps-criminal-trial-didnt-threaten-to-a/,"pril 29, 2024",Viral image,https://static.politifact.com/img/meter-false.jpg
"

Foto muestra “El océano Atlántico y el pacífico frente a frente sin mezclarse”.

",/factchecks/2024/apr/29/facebook-posts/no-esta-foto-no-es-de-los-oceanos-atlantico-y-paci/,"pril 29, 2024",Facebook posts,https://static.politifact.com/img/meter-false.jpg
"

Says he “got arrested” while protesting in favor of desegregation.

",/factchecks/2024/apr/29/joe-biden/joe-biden-repeats-false-tale-that-he-got-arrested/,"pril 29, 2024",Joe Biden,https://static.politifact.com/img/meter-false.jpg
"

Said Columbia University has told students, “Well, if you’re Jewish, maybe you do want to stay home.”

",/factchecks/2024/apr/29/mike-johnson/amid-columbia-protests-safety-concerns-speaker/,"pril 29, 2024",Mike Johnson,https://static.politifact.com/img/meter-false.jpg
"

Dr. Mehmet Oz said singer Adele used a “coffee trick” to lose weight.

",/factchecks/2024/apr/26/facebook-posts/dr-mehmet-oz-did-not-say-singer-adele-used-a-coffe/,"pril 26, 2024",Facebook posts,https://static.politifact.com/img/meter-false.jpg
